uid,component_type,discipline,x1,y1,x2,y2,Airflow_m3h,Capacity_m3h,Coating,ContaminatedPath,Diameter_mm,DuctSize_mm,EquipmentType,FluidType,IP_Rating,Insulation,Length_m,Material,Material_Grade,PressureClass,PressureRating_PSI,SectionType,Status,Vendor,VoltageLevel,Voltage_V
CMP-100364,I_Beam,Structural,677.02,535.33,698.19,558.51,,,Galvanized,,,,,,,,12.0,,S355,,,PFC_200,Inspected,,,
CMP-100365,Duct,HVAC,403.13,296.02,438.37,328.44,500,,,,,,,,,Acoustic,,Aluminum,,Low,,,Installed,Vendor_HVAC_1,,
CMP-100366,Reducer,Piping,622.13,133.26,648.61,162.52,,,,,100,,,Water,,No,,Alloy_Steel,,,300,,Designed,Vendor_Gamma,,
CMP-100367,I_Beam,Structural,286.93,547.02,319.38,577.33,,,Galvanized,,,,,,,,9.0,,A36,,,UB_203x133,Inspected,,,
CMP-100368,I_Beam,Structural,119.87,275.91,150.35,300.05,,,Painted_Epoxy,,,,,,,,6.0,,S355,,,PFC_200,Fabricated,,,
CMP-100369,Transformer,Electrical,697.86,552.62,720.87,590.07,,,,,,,,,IP55,,,,,,,,Connected,Vendor_Zeta,MV_11kV,
CMP-100370,Switchgear,Electrical,426.78,277.7,458.61,310.03,,,,,,,,,IP65,,,,,,,,,Vendor_Zeta,LV_415V,
CMP-100371,I_Beam,Structural,118.43,213.16,150.86,240.57,,,Painted_Epoxy,,,,,,,,6.0,,S355,,,UB_203x133,Inspected,,,
CMP-100372,Flange,Piping,190.15,35.43,225.2,71.3,,,,,150,,,Steam,,No,,PVC,,,300,,Installed,Vendor_Beta,,
CMP-100373,Compressor,Equipment,354.71,221.7,390.85,240.41,,100,,,,,Centrifugal,,,,,,,,,,Delivered,Vendor_Delta,,3300
CMP-100374,Heat_Exchanger,Equipment,125.23,715.64,154.59,741.66,,50,,,,,Centrifugal,,,,,,,,,,Commissioned,Vendor_Delta,,3300
CMP-100375,Air_Handler,HVAC,129.34,37.45,167.62,71.66,2500,,,,,600x400,,,,None,,Aluminum,,Medium,,,Commissioned,Vendor_HVAC_1,,
CMP-100376,Cable_Tray,Electrical,145.48,405.67,168.18,430.71,,,,,,,,,IP65,,,,,,,,,Vendor_Zeta,MV_11kV,
CMP-100377,Column,Structural,40.29,396.89,66.43,428.68,,,Painted_Epoxy,,,,,,,,3.0,,,,,UB_203x133,Inspected,,,
CMP-100378,Switchgear,Electrical,367.5,28.53,391.12,51.23,,,,,,,,,,,,,,,,,Connected,Vendor_Theta,HV_33kV,
CMP-100379,Switchgear,Electrical,167.41,529.6,204.85,562.82,,,,,,,,,IP55,,,,,,,,Connected,Vendor_Theta,HV_33kV,
CMP-100380,Reducer,Piping,99.6,306.62,137.46,331.98,,,,,200,,,Gas,,,,Stainless_Steel,,,300,,Tested,Vendor_Alpha,,
CMP-100381,Storage_Tank,Equipment,290.15,468.39,321.06,486.49,,500,,,,,Reciprocating,,,,,,,,,,Ordered,Vendor_Epsilon,,6600
CMP-100382,Flange,Piping,542.96,415.9,579.67,446.6,,,,,300,,,Oil,,Yes,,Carbon_Steel,,,300,,Procured,Vendor_Alpha,,
CMP-100383,Bracing,Structural,397.56,658.47,421.46,680.72,,,Galvanized,,,,,,,,3.0,,A36,,,PFC_200,Erected,,,
CMP-100384,Bracing,Structural,636.9,501.84,654.3,531.34,,,Galvanized,,,,,,,,12.0,,A36,,,UC_254x254,Fabricated,,,
CMP-100385,Damper,HVAC,768.42,576.57,797.39,608.81,500,,,,,200x200,,,,None,,Aluminum,,Low,,,Commissioned,Vendor_HVAC_2,,
CMP-100386,Storage_Tank,Equipment,45.88,590.2,66.44,626.62,,100,,,,,Centrifugal,,,,,,,,,,Ordered,,,415
CMP-100387,Junction_Box,Electrical,58.27,95.47,93.1,123.31,,,,,,,,,IP65,,,,,,,,,Vendor_Zeta,,
CMP-100388,Pipe_Segment,Piping,848.09,163.78,885.62,183.4,,,,,300,,,Steam,,Yes,,Carbon_Steel,,,600,,Designed,,,
CMP-100389,Duct,HVAC,495.95,521.07,535.06,540.36,500,,,,,200x200,,,,None,,Aluminum,,High,,,Fabricated,Vendor_HVAC_2,,
CMP-100390,Junction_Box,Electrical,212.85,179.29,230.67,218.91,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Zeta,LV_415V,
CMP-100391,Flange,Piping,464.34,289.35,490.76,322.75,,,,,200,,,Oil,,Yes,,Alloy_Steel,,,300,,Installed,Vendor_Gamma,,
CMP-100392,Cable_Tray,Electrical,376.73,385.86,408.64,403.84,,,,,,,,,IP55,,,,,,,,Laid,,HV_33kV,
CMP-100393,Storage_Tank,Equipment,200.24,610.82,225.35,631.64,,250,,,,,Reciprocating,,,,,,,,,,Installed,Vendor_Epsilon,,6600
CMP-100394,Switchgear,Electrical,152.64,338.24,170.69,365.47,,,,,,,,,,,,,,,,,Laid,Vendor_Zeta,LV_415V,
CMP-100395,Compressor,Equipment,564.13,248.87,586.7,279.45,,500,,,,,Shell_and_Tube,,,,,,,,,,Commissioned,Vendor_Epsilon,,415
CMP-100396,Air_Handler,HVAC,748.53,398.37,763.97,432.47,2500,,,,,200x200,,,,None,,Galvanized_Steel,,Medium,,,Balanced,Vendor_HVAC_1,,
CMP-100397,Junction_Box,Electrical,141.04,521.01,168.23,538.74,,,,,,,,,IP67,,,,,,,,Connected,Vendor_Zeta,HV_33kV,
CMP-100398,Duct,HVAC,372.25,366.28,411.52,396.7,500,,,,,600x400,,,,None,,Aluminum,,Low,,,,Vendor_HVAC_2,,
CMP-100399,Cable_Tray,Electrical,405.33,714.36,430.63,730.77,,,,,,,,,IP67,,,,,,,,,Vendor_Theta,LV_415V,
CMP-100400,Flange,Piping,172.8,396.89,188.73,428.33,,,,,300,,,Gas,,No,,Alloy_Steel,,,150,,Tested,Vendor_Gamma,,
CMP-100401,Storage_Tank,Equipment,467.06,588.02,498.74,607.19,,50,,,,,Reciprocating,,,,,,,,,,Installed,,,6600
CMP-100402,Diffuser,HVAC,744.14,457.2,783.09,490.14,5000,,,,,600x400,,,,Thermal,,Aluminum,,Medium,,,Balanced,Vendor_HVAC_2,,
CMP-100403,Platform,Structural,624.4,403.29,661.42,433.99,,,None,,,,,,,,12.0,,A36,,,UB_203x133,Inspected,,,
CMP-100404,Cable_Tray,Electrical,490.04,274.99,508.73,293.75,,,,,,,,,IP65,,,,,,,,Laid,Vendor_Theta,MV_11kV,
CMP-100405,Bracing,Structural,601.44,199.51,631.47,224.66,,,None,,,,,,,,9.0,,A36,,,,Erected,,,
CMP-100406,Valve,Piping,163.42,115.5,184.88,150.59,,,,,50,,,Water,,Yes,,Stainless_Steel,,,300,,Installed,Vendor_Beta,,
CMP-100407,I_Beam,Structural,377.21,607.87,413.28,628.77,,,Galvanized,,,,,,,,9.0,,S355,,,PFC_200,Fabricated,,,
CMP-100408,Bracing,Structural,769.1,536.07,804.25,569.67,,,Painted_Epoxy,,,,,,,,9.0,,A36,,,UB_203x133,Fabricated,,,
CMP-100409,Switchgear,Electrical,649.66,99.07,678.3,125.94,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Theta,MV_11kV,
CMP-100410,Pipe_Segment,Piping,777.33,483.56,815.85,515.83,,,,,200,,,Steam,,Yes,,Stainless_Steel,,,600,,Tested,,,
CMP-100411,Switchgear,Electrical,290.8,675.43,324.72,697.87,,,,,,,,,IP67,,,,,,,,Energized,Vendor_Zeta,LV_415V,
CMP-100412,I_Beam,Structural,760.88,678.35,787.66,703.67,,,Painted_Epoxy,,,,,,,,9.0,,S355,,,UB_203x133,Inspected,,,
CMP-100413,Air_Handler,HVAC,427.94,39.15,444.24,70.19,,,,,,400x300,,,,Acoustic,,Galvanized_Steel,,Medium,,,Installed,Vendor_HVAC_2,,
CMP-100414,Platform,Structural,450.53,534.62,472.05,566.81,,,None,,,,,,,,12.0,,A572_G50,,,UC_254x254,Fabricated,,,
CMP-100415,Damper,HVAC,836.16,701.89,856.12,734.42,2500,,,,,800x600,,,,,,Galvanized_Steel,,Medium,,,Commissioned,Vendor_HVAC_2,,
CMP-100416,Valve,Piping,662.21,153.38,698.76,187.93,,,,,200,,,Steam,,No,,Alloy_Steel,,,600,,Tested,Vendor_Alpha,,
CMP-100417,Bracing,Structural,231.94,335.68,253.15,365.25,,,Painted_Epoxy,,,,,,,,9.0,,A36,,,,Inspected,,,
CMP-100418,Junction_Box,Electrical,682.49,199.36,699.87,215.83,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Zeta,LV_415V,
CMP-100419,Flange,Piping,474.09,286.66,513.53,318.44,,,,,150,,,Gas,,No,,Carbon_Steel,,,300,,Tested,Vendor_Alpha,,
CMP-100420,I_Beam,Structural,900.66,369.45,939.99,391.48,,,Painted_Epoxy,,,,,,,,9.0,,A572_G50,,,UC_254x254,Erected,,,
CMP-100421,Transformer,Electrical,520.11,666.0,551.03,692.0,,,,,,,,,IP55,,,,,,,,Laid,Vendor_Theta,LV_415V,
CMP-100422,Reducer,Piping,56.71,269.56,89.44,296.69,,,,,50,,,Gas,,Yes,,Stainless_Steel,,,300,,Procured,Vendor_Alpha,,
CMP-100423,Damper,HVAC,394.78,73.78,428.99,105.7,500,,,,,200x200,,,,Acoustic,,Galvanized_Steel,,High,,,,Vendor_HVAC_2,,
CMP-100424,Switchgear,Electrical,554.78,24.06,594.02,55.46,,,,,,,,,IP67,,,,,,,,Energized,Vendor_Zeta,MV_11kV,
CMP-100425,Bracing,Structural,738.33,540.66,767.01,570.72,,,,,,,,,,,12.0,,,,,UB_203x133,Fabricated,,,
CMP-100426,Junction_Box,Electrical,276.44,546.79,307.79,564.81,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Zeta,MV_11kV,
CMP-100427,Column,Structural,460.66,639.79,487.57,668.87,,,,,,,,,,,12.0,,A572_G50,,,PFC_200,Erected,,,
CMP-100428,Heat_Exchanger,Equipment,857.6,389.1,888.78,406.2,,500,,,,,Centrifugal,,,,,,,,,,Installed,Vendor_Epsilon,,415
CMP-100429,I_Beam,Structural,515.89,662.11,543.73,689.88,,,Galvanized,,,,,,,,9.0,,A572_G50,,,PFC_200,Fabricated,,,
CMP-100430,Reducer,Piping,181.6,147.55,206.42,164.63,,,,,300,,,Steam,,No,,PVC,,,600,,Designed,Vendor_Gamma,,
CMP-100431,I_Beam,Structural,410.42,32.54,435.29,47.87,,,None,,,,,,,,12.0,,A572_G50,,,PFC_200,Inspected,,,
CMP-100432,Switchgear,Electrical,98.87,114.58,118.64,149.98,,,,,,,,,IP55,,,,,,,,Laid,Vendor_Theta,LV_415V,
CMP-100433,Damper,HVAC,97.48,558.8,116.18,584.35,5000,,,,,400x300,,,,Acoustic,,,,Medium,,,Commissioned,,,
CMP-100434,Pipe_Segment,Piping,587.37,519.16,626.86,555.38,,,,,,,,Water,,No,,PVC,,,600,,Tested,Vendor_Gamma,,
CMP-100435,Flange,Piping,823.59,312.0,850.42,339.37,,,,,200,,,Oil,,Yes,,PVC,,,-9999,,Procured,Vendor_Gamma,,
CMP-100436,Platform,Structural,138.04,225.38,170.82,264.38,,,Painted_Epoxy,,,,,,,,6.0,,S355,,,UC_254x254,Fabricated,,,
CMP-100437,Transformer,Electrical,175.96,129.42,203.26,164.26,,,,,,,,,IP55,,,,,,,,Laid,Vendor_Theta,MV_11kV,
CMP-100438,Column,Structural,177.24,621.62,204.83,656.79,,,Painted_Epoxy,,,,,,,,12.0,,A36,,,UB_203x133,Fabricated,,,
CMP-100439,Air_Handler,HVAC,826.69,617.39,863.53,647.5,5000,,,,,200x200,,,,Acoustic,,Galvanized_Steel,,Low,,,Installed,Vendor_HVAC_1,,
CMP-100440,Column,Structural,675.51,515.71,709.56,543.17,,,Painted_Epoxy,,,,,,,,3.0,,A36,,,UC_254x254,Fabricated,,,
CMP-100441,Compressor,Equipment,327.19,373.52,344.32,397.83,,100,,,,,Reciprocating,,,,,,,,,,Delivered,Vendor_Epsilon,,6600
CMP-100442,Junction_Box,Electrical,828.26,686.29,856.16,718.34,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Zeta,MV_11kV,
CMP-100443,Bracing,Structural,381.49,560.66,407.34,585.49,,,None,,,,,,,,3.0,,,,,UB_203x133,Inspected,,,
CMP-100444,Platform,Structural,381.8,496.61,410.64,519.22,,,Painted_Epoxy,,,,,,,,6.0,,A572_G50,,,,Inspected,,,
CMP-100445,Diffuser,HVAC,647.72,641.37,682.26,666.48,,,,,,600x400,,,,None,,Galvanized_Steel,,Medium,,,Fabricated,Vendor_HVAC_2,,
CMP-100446,Air_Handler,HVAC,701.34,132.02,717.04,166.93,2500,,,,,400x300,,,,Thermal,,Galvanized_Steel,,High,,,Balanced,Vendor_HVAC_1,,
CMP-100447,Switchgear,Electrical,535.19,23.65,558.66,44.55,,,,,,,,,IP67,,,,,,,,Energized,Vendor_Theta,HV_33kV,
CMP-100448,Column,Structural,662.92,383.77,684.11,406.97,,,,,,,,,,,12.0,,A572_G50,,,UB_203x133,,,,
CMP-100449,Compressor,Equipment,213.31,74.65,245.23,99.72,,500,,,,,Reciprocating,,,,,,,,,,Commissioned,Vendor_Epsilon,,3300
CMP-100450,Heat_Exchanger,Equipment,475.21,359.34,501.65,398.54,,100,,,,,Shell_and_Tube,,,,,,,,,,Installed,Vendor_Delta,,415
CMP-100451,Diffuser,HVAC,119.3,278.71,141.54,306.78,2500,,,,,600x400,,,,Thermal,,Galvanized_Steel,,Low,,,,Vendor_HVAC_2,,
CMP-100452,Heat_Exchanger,Equipment,757.21,362.16,775.27,385.88,,250,,,,,Reciprocating,,,,,,,,,,Commissioned,Vendor_Delta,,3300
CMP-100453,Compressor,Equipment,705.51,487.05,724.23,520.25,,500,,,,,,,,,,,,,,,Ordered,Vendor_Epsilon,,3300
CMP-100454,I_Beam,Structural,799.36,515.05,828.66,549.95,,,None,,,,,,,,6.0,,S355,,,PFC_200,Fabricated,,,
CMP-100455,Damper,HVAC,695.5,371.85,710.97,403.31,1200,,,,,200x200,,,,,,Aluminum,,High,,,Balanced,Vendor_HVAC_1,,
CMP-100456,Cable_Tray,Electrical,325.96,146.36,341.56,174.56,,,,,,,,,IP55,,,,,,,,Connected,Vendor_Theta,LV_415V,
CMP-100457,Valve,Piping,296.11,305.09,315.34,335.45,,,,,150,,,Water,,No,,Carbon_Steel,,,300,,,Vendor_Gamma,,
CMP-100458,Damper,HVAC,463.68,546.67,488.31,564.55,5000,,,,,,,,,Acoustic,,,,,,,Fabricated,Vendor_HVAC_1,,
CMP-100459,Platform,Structural,421.38,612.39,448.89,646.96,,,None,,,,,,,,12.0,,S355,,,UB_203x133,Fabricated,,,
CMP-100460,Switchgear,Electrical,607.75,137.17,624.25,175.22,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Theta,MV_11kV,
CMP-100461,Valve,Piping,685.26,414.16,707.78,439.04,,,,,150,,,Gas,,No,,Stainless_Steel,,,150,,Tested,Vendor_Gamma,,
CMP-100462,Bracing,Structural,209.56,691.29,232.77,729.14,,,None,,,,,,,,6.0,,A36,,,UB_203x133,Erected,,,
CMP-100463,Duct,HVAC,728.57,474.37,745.51,490.14,2500,,,,,800x600,,,,None,,Aluminum,,Medium,,,Fabricated,Vendor_HVAC_1,,
CMP-100464,Cable_Tray,Electrical,219.37,33.85,241.4,71.88,,,,,,,,,IP67,,,,,,,,Energized,Vendor_Theta,LV_415V,
CMP-100465,I_Beam,Structural,272.68,653.16,305.35,673.39,,,Galvanized,,,,,,,,12.0,,S355,,,UC_254x254,Inspected,,,
CMP-100466,Damper,HVAC,78.82,109.77,95.45,131.26,2500,,,,,400x300,,,,None,,,,High,,,Balanced,Vendor_HVAC_2,,
CMP-100467,Reducer,Piping,596.87,680.15,613.17,718.62,,,,,300,,,Steam,,Yes,,Alloy_Steel,,,300,,,Vendor_Gamma,,
CMP-100468,Switchgear,Electrical,24.64,156.23,41.69,185.53,,,,,,,,,IP67,,,,,,,,Laid,Vendor_Zeta,,
CMP-100469,Storage_Tank,Equipment,299.73,458.2,317.15,485.2,,250,,,,,Shell_and_Tube,,,,,,,,,,Delivered,Vendor_Delta,,415
CMP-100470,Column,Structural,869.19,563.02,899.68,597.12,,,None,,,,,,,,12.0,,S355,,,UB_203x133,,,,
CMP-100471,Pump,Equipment,847.2,329.34,869.74,359.99,,50,,,,,,,,,,,,,,,Commissioned,Vendor_Delta,,3300
CMP-100472,Junction_Box,Electrical,437.79,319.67,468.3,337.2,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Zeta,HV_33kV,
CMP-100473,Pipe_Segment,Piping,553.6,608.55,591.21,626.7,,,,,300,,,,,Yes,,PVC,,,150,,Tested,Vendor_Gamma,,
CMP-100474,Bracing,Structural,545.3,398.8,563.94,425.54,,,,,,,,,,,6.0,,A572_G50,,,UB_203x133,Inspected,,,
CMP-100475,Reducer,Piping,329.43,703.56,360.44,723.59,,,,,200,,,Gas,,No,,,,,300,,Tested,Vendor_Alpha,,
CMP-100476,Cable_Tray,Electrical,466.34,663.97,497.31,696.3,,,,,,,,,IP67,,,,,,,,Connected,Vendor_Theta,LV_415V,
CMP-100477,Compressor,Equipment,185.82,712.91,209.89,729.75,,250,,,,,,,,,,,,,,,Installed,,,6600
CMP-100478,Valve,Piping,198.04,141.9,235.17,174.87,,,,,50,,,Steam,,Yes,,Stainless_Steel,,,300,,Designed,Vendor_Alpha,,
CMP-100479,Platform,Structural,236.13,586.64,267.65,625.17,,,Galvanized,,,,,,,,,,S355,,,PFC_200,Fabricated,,,
CMP-100480,Diffuser,HVAC,644.92,242.57,670.66,273.47,2500,,,,,400x300,,,,None,,Aluminum,,Medium,,,Commissioned,Vendor_HVAC_1,,
CMP-100481,Cable_Tray,Electrical,170.69,291.68,207.75,325.46,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Theta,HV_33kV,
CMP-100482,Switchgear,Electrical,543.07,466.67,577.84,497.91,,,,,,,,,IP55,,,,,,,,Connected,Vendor_Theta,LV_415V,
CMP-100483,Damper,HVAC,861.95,281.88,890.71,300.24,2500,,,,,,,,,Thermal,,Aluminum,,Low,,,Balanced,Vendor_HVAC_2,,
CMP-100484,Platform,Structural,42.25,329.18,63.89,346.08,,,Galvanized,,,,,,,,3.0,,A572_G50,,,PFC_200,,,,
CMP-100485,Flange,Piping,54.45,160.21,74.37,183.44,,,,,250,,,,,No,,PVC,,,600,,Installed,Vendor_Beta,,
CMP-100486,Cable_Tray,Electrical,444.8,378.85,478.83,397.58,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Theta,LV_415V,
CMP-100487,Switchgear,Electrical,732.72,239.15,752.42,273.4,,,,,,,,,IP67,,,,,,,,,Vendor_Zeta,LV_415V,
CMP-100488,I_Beam,Structural,469.82,481.19,493.69,501.83,,,None,,,,,,,,9.0,,A572_G50,,,PFC_200,Fabricated,,,
CMP-100489,Storage_Tank,Equipment,531.37,579.4,569.21,608.75,,500,,,,,Reciprocating,,,,,,,,,,Commissioned,Vendor_Epsilon,,
CMP-100490,I_Beam,Structural,174.28,492.42,193.72,528.08,,,Galvanized,,,,,,,,12.0,,A36,,,UB_203x133,Inspected,,,
CMP-100491,Reducer,Piping,71.71,382.97,91.01,419.46,,,,,100,,,Steam,,No,,Stainless_Steel,,,300,,Procured,Vendor_Gamma,,
CMP-100492,Transformer,Electrical,563.34,677.41,593.03,704.97,,,,,,,,,IP55,,,,,,,,Connected,Vendor_Zeta,MV_11kV,
CMP-100493,Air_Handler,HVAC,839.27,635.47,865.78,664.87,5000,,,,,600x400,,,,Acoustic,,Aluminum,,High,,,Installed,Vendor_HVAC_2,,
CMP-100494,Junction_Box,Electrical,839.75,148.41,868.97,173.25,,,,C:/Synthetic/Temp/Config_4.dat,,,,,IP55,,,,,,,,Energized,Vendor_Zeta,LV_415V,
CMP-100495,Compressor,Equipment,390.15,553.3,408.18,577.52,,250,,,,,Shell_and_Tube,,,,,,,,,,Ordered,Vendor_Delta,,415
CMP-100496,Junction_Box,Electrical,329.29,299.54,349.15,315.48,,,,,,,,,IP65,,,,,,,,Connected,Vendor_Zeta,HV_33kV,
CMP-100497,Valve,Piping,662.22,326.41,688.99,348.39,,,,,100,,,,,Yes,,Carbon_Steel,,,600,,Installed,Vendor_Beta,,
CMP-100498,Heat_Exchanger,Equipment,662.97,644.88,691.28,670.93,,50,,,,,,,,,,,,,,,Ordered,,,3300
CMP-100499,Transformer,Electrical,855.94,282.25,876.9,299.53,,,,,,,,,IP55,,,,,,,,Laid,Vendor_Zeta,LV_415V,
CMP-100500,Heat_Exchanger,Equipment,59.61,378.75,95.0,401.82,,500,,,,,Shell_and_Tube,,,,,,,,,,Ordered,Vendor_Delta,,415
CMP-100501,Reducer,Piping,608.59,28.39,628.91,48.89,,,,,150,,,Oil,,No,,PVC,,,-9999,,Designed,Vendor_Gamma,,
CMP-100502,Storage_Tank,Equipment,883.13,439.91,922.67,472.32,,100,,,,,Shell_and_Tube,,,,,,,,,,Commissioned,,,6600
CMP-100503,Reducer,Piping,364.13,468.41,384.94,498.1,,,,,,,,Water,,No,,Stainless_Steel,,,150,,,Vendor_Beta,,
CMP-100504,Heat_Exchanger,Equipment,358.17,469.43,379.12,502.56,,250,,,,,Reciprocating,,,,,,,,,,Ordered,Vendor_Epsilon,,3300
CMP-100505,I_Beam,Structural,226.11,533.01,249.68,553.16,,,Painted_Epoxy,,,,,,,,6.0,,,,,UB_203x133,Fabricated,,,
CMP-100506,Cable_Tray,Electrical,78.16,364.15,117.0,380.45,,,,,,,,,IP55,,,,,,,,Laid,Vendor_Zeta,LV_415V,
CMP-100507,Junction_Box,Electrical,300.32,525.17,321.44,544.58,,,,,,,,,IP67,,,,,,,,Connected,,MV_11kV,
CMP-100508,Platform,Structural,359.95,349.5,385.52,379.73,,,Galvanized,,,,,,,,,,A36,,,UC_254x254,Erected,,,
CMP-100509,Damper,HVAC,517.57,142.99,542.08,165.64,,,,,,800x600,,,,,,Galvanized_Steel,,Medium,,,Balanced,Vendor_HVAC_2,,
CMP-100510,Switchgear,Electrical,365.63,235.47,405.32,252.25,,,,,,,,,IP67,,,,,,,,Connected,Vendor_Theta,LV_415V,
CMP-100511,Diffuser,HVAC,591.48,277.73,607.92,302.36,500,,,,,400x300,,,,None,,Galvanized_Steel,,Medium,,,Commissioned,Vendor_HVAC_1,,
CMP-100512,Column,Structural,561.93,686.24,597.97,701.55,,,Galvanized,,,,,,,,3.0,,S355,,,UC_254x254,Fabricated,,,
CMP-100513,Switchgear,Electrical,642.65,370.45,670.98,407.62,,,,,,,,,IP67,,,,,,,,Laid,Vendor_Theta,HV_33kV,
CMP-100514,Storage_Tank,Equipment,693.86,671.01,718.81,693.71,,,,,,,Reciprocating,,,,,,,,,,Commissioned,Vendor_Epsilon,,
CMP-100515,Heat_Exchanger,Equipment,357.19,512.83,377.14,532.38,,100,,,,,Reciprocating,,,,,,,,,,Delivered,Vendor_Epsilon,,415
CMP-100516,Cable_Tray,Electrical,801.53,136.29,823.86,160.73,,,,,,,,,,,,,,,,,Connected,Vendor_Zeta,MV_11kV,
CMP-100517,Pipe_Segment,Piping,259.47,688.65,291.1,723.38,,,,,50,,,Oil,,No,,,,,600,,Tested,Vendor_Gamma,,
CMP-100518,Bracing,Structural,755.16,678.69,786.79,703.15,,,None,,,,,,,,3.0,,,,,UC_254x254,Fabricated,,,
CMP-100519,Pipe_Segment,Piping,802.1,215.63,834.58,251.01,,,,,300,,,,,No,,Alloy_Steel,,,600,,Designed,Vendor_Gamma,,
CMP-100520,Platform,Structural,230.2,359.18,263.68,394.03,,,Galvanized,,,,,,,,12.0,,A572_G50,,,PFC_200,Inspected,,,
CMP-100521,Duct,HVAC,135.08,577.77,157.61,609.6,5000,,,,,800x600,,,,Acoustic,,Galvanized_Steel,,Medium,,,Fabricated,Vendor_HVAC_1,,
CMP-100522,Storage_Tank,Equipment,832.38,556.42,852.89,577.86,,100,,,,,Shell_and_Tube,,,,,,,,,,Ordered,Vendor_Epsilon,,6600
CMP-100523,Pump,Equipment,599.59,283.91,632.53,317.31,,500,,,,,Shell_and_Tube,,,,,,,,,,Installed,,,415
CMP-100524,Flange,Piping,686.52,676.05,720.14,693.95,,,,,250,,,Oil,,,,PVC,,,300,,Installed,Vendor_Gamma,,
CMP-100525,Heat_Exchanger,Equipment,115.93,26.43,152.24,49.33,,500,,,,,Reciprocating,,,,,,,,,,Delivered,Vendor_Delta,,415
CMP-100526,Air_Handler,HVAC,298.0,713.23,316.09,753.15,1200,,,,,800x600,,,,Thermal,,Galvanized_Steel,,High,,,Installed,Vendor_HVAC_1,,
CMP-100527,Valve,Piping,791.1,529.18,813.58,564.56,,,,,250,,,Oil,,No,,Stainless_Steel,,,300,,,Vendor_Beta,,
CMP-100528,Compressor,Equipment,107.59,246.39,142.37,283.04,,250,,,,,,,,,,,,,,,Commissioned,Vendor_Epsilon,,415
CMP-100529,Heat_Exchanger,Equipment,216.32,543.87,249.7,559.1,,100,,,,,Shell_and_Tube,,,,,,,,,,Delivered,Vendor_Delta,,3300
CMP-100530,Platform,Structural,181.67,56.73,221.18,87.98,,,Painted_Epoxy,,,,,,,,3.0,,A36,,,UC_254x254,Inspected,,,
CMP-100531,Compressor,Equipment,718.26,713.81,750.03,731.05,,500,,,,,Shell_and_Tube,,,,,,,,,,Ordered,Vendor_Delta,,415
CMP-100532,Reducer,Piping,266.35,541.75,301.21,561.28,,,,,100,,,Steam,,,,Alloy_Steel,,,-9999,,Designed,Vendor_Gamma,,
CMP-100533,Diffuser,HVAC,77.54,606.0,106.01,641.47,500,,,,,400x300,,,,Thermal,,Galvanized_Steel,,High,,,Installed,Vendor_HVAC_1,,
CMP-100534,Flange,Piping,786.31,44.5,825.81,72.15,,,,,300,,,Oil,,No,,Stainless_Steel,,,,,Tested,Vendor_Gamma,,
CMP-100535,Column,Structural,639.14,483.83,655.26,499.75,,,None,,,,,,,,9.0,,A36,,,PFC_200,Fabricated,,,
CMP-100536,Air_Handler,HVAC,254.61,474.84,273.69,501.24,1200,,,,,800x600,,,,None,,Aluminum,,Low,,,Balanced,Vendor_HVAC_1,,
CMP-100537,Transformer,Electrical,304.72,571.45,329.19,610.55,,,,,,,,,IP55,,,,,,,,Connected,,MV_11kV,
CMP-100538,Flange,Piping,838.32,564.65,856.98,599.6,,,,,100,,,Gas,,Yes,,Carbon_Steel,,,150,,Tested,,,
CMP-100539,Bracing,Structural,516.39,445.23,553.8,464.5,,,Galvanized,,,,,,,,12.0,,A572_G50,,,PFC_200,Inspected,,,
CMP-100540,Damper,HVAC,611.81,119.87,641.0,141.55,1200,,,,,600x400,,,,Thermal,,Galvanized_Steel,,Medium,,,Balanced,Vendor_HVAC_2,,
CMP-100541,Damper,HVAC,294.67,620.55,333.36,645.71,500,,,,,200x200,,,,,,Galvanized_Steel,,Low,,,Commissioned,Vendor_HVAC_1,,
CMP-100542,Transformer,Electrical,451.69,380.51,491.64,417.71,,,,,,,,,,,,,,,,,Energized,,MV_11kV,
CMP-100543,Switchgear,Electrical,239.8,537.29,278.57,572.87,,,,,,,,,IP55,,,,,,,,Laid,Vendor_Zeta,HV_33kV,
CMP-100544,Pump,Equipment,350.35,113.32,374.18,129.59,,50,,,,,Centrifugal,,,,,,,,,,Ordered,Vendor_Epsilon,,6600
CMP-100545,Bracing,Structural,211.76,536.62,240.98,557.06,,,,,,,,,,,12.0,,S355,,,UB_203x133,,,,
CMP-100546,Switchgear,Electrical,288.52,95.01,312.26,128.07,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Zeta,LV_415V,
CMP-100547,Cable_Tray,Electrical,841.8,24.84,876.04,46.09,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Zeta,MV_11kV,
